class_name,subject_name,subject_order,chapter_name,chapter_order,topic_name,topic_type,topic_description,content_type,content_url
Class 4,EVS,2,Living Together,1,Multiple Choice Questions,INTERACTIVE,Choose the correct answer for each question.,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97509/790/226"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,EVS,2,Living Together,1,Solve the Riddles,INTERACTIVE,Guess the word by solving the riddle.,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97509/472/188"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,EVS,2,Living Together,1,Learn the keywords,INTERACTIVE,Find the keywords of the chapter by rearranging the words.,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97509/266/766"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,EVS,2,Living Together,1,True or False,INTERACTIVE,Read the statements and decide if they are true or false.,IFRAME,"<iframe allow=""fullscreen; autoplay; allow-top-navigation-by-user-activation"" allowfullscreen width=""795"" height=""690"" frameborder=""0"" src=""https://www.educaplay.com/game/25358883-community_helpers_true_false_quiz.html""></iframe>"
